iri,as_subject,as_object,subject_pattern,object_pattern
https://identifiers.org/chebi/27889,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9141,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16480,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/52498,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/39867,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/36706,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/125423,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/49900,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9422,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/83173,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D005354,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/28851,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/3720,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28197,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/94276,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/6541,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9604,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/27385,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/2663,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/41774,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/9948,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/31549,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/32497,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/91384,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/29699,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D009369,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
