shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,error
shape_000169,chebi:24632,http://purl.obolibrary.org/obo/CHEBI_24632,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,436,436.0,436,1.0,100.0,chebi:24632 -> sio:000008 -> cheminf:000018,
shape_000170,chebi:24646,http://purl.obolibrary.org/obo/CHEBI_24646,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,271,271.0,271,1.0,100.0,chebi:24646 -> sio:000008 -> cheminf:000018,
shape_000171,chebi:24650,http://purl.obolibrary.org/obo/CHEBI_24650,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,303,303.0,303,1.0,100.0,chebi:24650 -> sio:000008 -> cheminf:000018,
shape_000173,chebi:24669,http://purl.obolibrary.org/obo/CHEBI_24669,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,784,784.0,784,1.0,100.0,chebi:24669 -> sio:000008 -> cheminf:000018,
shape_000174,chebi:24673,http://purl.obolibrary.org/obo/CHEBI_24673,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,381,381.0,381,1.0,100.0,chebi:24673 -> sio:000008 -> cheminf:000018,
shape_000287,chebi:26435,http://purl.obolibrary.org/obo/CHEBI_26435,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,28,28.0,28,1.0,100.0,chebi:26435 -> sio:000008 -> cheminf:000018,
shape_000288,chebi:26437,http://purl.obolibrary.org/obo/CHEBI_26437,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,9,9.0,9,1.0,100.0,chebi:26437 -> sio:000008 -> cheminf:000018,
shape_000289,chebi:26438,http://purl.obolibrary.org/obo/CHEBI_26438,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,272,272.0,272,1.0,100.0,chebi:26438 -> sio:000008 -> cheminf:000018,
shape_000290,chebi:26440,http://purl.obolibrary.org/obo/CHEBI_26440,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1017,1017.0,1017,1.0,100.0,chebi:26440 -> sio:000008 -> cheminf:000018,
shape_000291,chebi:26441,http://purl.obolibrary.org/obo/CHEBI_26441,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,772,772.0,772,1.0,100.0,chebi:26441 -> sio:000008 -> cheminf:000018,
shape_000292,chebi:26442,http://purl.obolibrary.org/obo/CHEBI_26442,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,295,295.0,295,1.0,100.0,chebi:26442 -> sio:000008 -> cheminf:000018,
shape_000293,chebi:26443,http://purl.obolibrary.org/obo/CHEBI_26443,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,133,133.0,133,1.0,100.0,chebi:26443 -> sio:000008 -> cheminf:000018,
shape_000279,chebi:26400,http://purl.obolibrary.org/obo/CHEBI_26400,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,596,596.0,596,1.0,100.0,chebi:26400 -> sio:000008 -> cheminf:000018,
shape_000280,chebi:26401,http://purl.obolibrary.org/obo/CHEBI_26401,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,3036,3036.0,3036,1.0,100.0,chebi:26401 -> sio:000008 -> cheminf:000018,
shape_000282,chebi:26410,http://purl.obolibrary.org/obo/CHEBI_26410,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1194,1194.0,1194,1.0,100.0,chebi:26410 -> sio:000008 -> cheminf:000018,
